Date,Artist,Title,Playlist,Position,Followers
2024-02-16,Beyoncé,TEXAS HOLD 'EM,Top 50 Australia,5,815658
2024-02-16,Beyoncé,TEXAS HOLD 'EM,New Music Friday AU & NZ,1,370523
2024-02-16,Beyoncé,TEXAS HOLD 'EM,Hot Hits Australia,10,1401047
2024-02-16,Beyoncé,TEXAS HOLD 'EM,Fresh Country,1,379095
2024-02-16,Beyoncé,TEXAS HOLD 'EM,Pop n' Fresh,4,120580
2024-02-16,Beyoncé,TEXAS HOLD 'EM,Breaking Hits,4,72936
2024-02-16,Beyoncé,TEXAS HOLD 'EM,triple j's New Music Hitlist,2,310283
2024-02-16,Dua Lipa,Training Season,Top 50 Australia,19,815658
2024-02-16,Dua Lipa,Training Season,New Music Friday AU & NZ,2,370523
2024-02-16,Dua Lipa,Training Season,Hot Hits Australia,3,1401047
2024-02-16,Dua Lipa,Training Season,Pop n' Fresh,2,120580
2024-02-16,Dua Lipa,Training Season,Breaking Hits,1,72936
2024-02-16,Dua Lipa,Training Season,triple j's New Music Hitlist,9,310283
2024-02-16,Royel Otis,Foam,New Music Friday AU & NZ,3,370523
2024-02-16,Royel Otis,Foam,Front Left,11,564386
2024-02-16,Royel Otis,Foam,Indie Arrivals,1,70658
2024-02-16,Royel Otis,Foam,triple j's New Music Hitlist,1,310283
2024-02-16,"KUČKA, Flume",One More Night,New Music Friday AU & NZ,4,370523
2024-02-16,"KUČKA, Flume",One More Night,Dance Generation,19,411035
2024-02-16,"KUČKA, Flume",One More Night,New Dance Beats,3,139675
2024-02-16,"KUČKA, Flume",One More Night,Indie Arrivals,2,70658
2024-02-16,"KUČKA, Flume",One More Night,triple j's New Music Hitlist,3,310283
2024-02-16,"Cosmo's Midnight, Franc Moody",Fantasy (feat. Franc Moody),New Music Friday AU & NZ,5,370523
2024-02-16,"Cosmo's Midnight, Franc Moody",Fantasy (feat. Franc Moody),Front Left,10,564386
2024-02-16,"Cosmo's Midnight, Franc Moody",Fantasy (feat. Franc Moody),New Dance Beats,24,139675
2024-02-16,"Cosmo's Midnight, Franc Moody",Fantasy (feat. Franc Moody),Indie Arrivals,4,70658
2024-02-16,Delta Goodrem,Hearts On The Run,New Music Friday AU & NZ,6,370523
2024-02-16,Delta Goodrem,Hearts On The Run,Pop n' Fresh,20,120580
2024-02-16,"KAROL G, Tiësto",CONTIGO (with Tiësto),New Music Friday AU & NZ,7,370523
2024-02-16,"KAROL G, Tiësto",CONTIGO (with Tiësto),Pop n' Fresh,1,120580
2024-02-16,"Ariana Grande, Mariah Carey","yes, and? (with Mariah Carey)",New Music Friday AU & NZ,8,370523
2024-02-16,"Ariana Grande, Mariah Carey","yes, and? (with Mariah Carey)",Pop n' Fresh,3,120580
2024-02-16,Becca Hatch,Bass Keeps Calling,New Music Friday AU & NZ,9,370523
2024-02-16,Becca Hatch,Bass Keeps Calling,New Dance Beats,15,139675
2024-02-16,Becca Hatch,Bass Keeps Calling,triple j's New Music Hitlist,8,310283
2024-02-16,"Jennifer Lopez, Anuel AA",Rebound (feat. Anuel AA),New Music Friday AU & NZ,10,370523
2024-02-16,"Jennifer Lopez, Anuel AA",Rebound (feat. Anuel AA),Breaking Hits,30,72936
2024-02-16,Forest Claudette,Kobe Beef,New Music Friday AU & NZ,11,370523
2024-02-16,Forest Claudette,Kobe Beef,Indie Arrivals,12,70658
2024-02-16,Forest Claudette,Kobe Beef,triple j's New Music Hitlist,4,310283
2024-02-16,Sleepy Hallow,Cupid's Guidance,New Music Friday AU & NZ,12,370523
2024-02-16,Sleepy Hallow,Cupid's Guidance,A1,11,438229
2024-02-16,Sleepy Hallow,Cupid's Guidance,Mellow Styles,3,96005
2024-02-16,Vampire Weekend,Capricorn,New Music Friday AU & NZ,13,370523
2024-02-16,Vampire Weekend,Capricorn,Front Left,23,564386
2024-02-16,Vampire Weekend,Capricorn,Indie Arrivals,9,70658
2024-02-16,Vampire Weekend,Capricorn,Alt Here,18,47670
2024-02-16,Polo G,Sorrys & Ferraris,New Music Friday AU & NZ,14,370523
2024-02-16,Polo G,Sorrys & Ferraris,A1,13,438229
2024-02-16,Polo G,Sorrys & Ferraris,The Drip,16,89180
2024-02-16,Bryson Tiller,Whatever She Wants,New Music Friday AU & NZ,15,370523
2024-02-16,Bryson Tiller,Whatever She Wants,R&B Connect,2,198352
2024-02-16,Pearl Jam,Dark Matter,New Music Friday AU & NZ,16,370523
2024-02-16,Pearl Jam,Dark Matter,Rock Out.,2,90212
2024-02-16,Pearl Jam,Dark Matter,Alt Here,4,47670
2024-02-16,"The 046, Kymza",Better Days,New Music Friday AU & NZ,17,370523
2024-02-16,"The 046, Kymza",Better Days,A1,16,438229
2024-02-16,"The 046, Kymza",Better Days,The Drip,10,89180
2024-02-16,Kim Petras,Head Head Honcho,New Music Friday AU & NZ,18,370523
2024-02-16,Kim Petras,Head Head Honcho,Pop n' Fresh,31,120580
2024-02-16,Josh Ross,Matching Tattoos,New Music Friday AU & NZ,19,370523
2024-02-16,Josh Ross,Matching Tattoos,Fresh Country,10,379095
2024-02-16,Ūla,just a gimmick,New Music Friday AU & NZ,20,370523
2024-02-16,Ūla,just a gimmick,Pop n' Fresh,6,120580
2024-02-16,Ūla,just a gimmick,triple j's New Music Hitlist,11,310283
2024-02-16,Warpaint,Common Blue,New Music Friday AU & NZ,21,370523
2024-02-16,Warpaint,Common Blue,Front Left,18,564386
2024-02-16,Warpaint,Common Blue,Indie Arrivals,6,70658
2024-02-16,Warpaint,Common Blue,Alt Here,12,47670
2024-02-16,"Kitty Ca$h, Thundercat, James Fauntleroy",Time Machine (feat. Thundercat & James Fauntleroy),New Music Friday AU & NZ,22,370523
2024-02-16,"Kitty Ca$h, Thundercat, James Fauntleroy",Time Machine (feat. Thundercat & James Fauntleroy),Front Left,29,564386
2024-02-16,"Kitty Ca$h, Thundercat, James Fauntleroy",Time Machine (feat. Thundercat & James Fauntleroy),Indie Arrivals,5,70658
2024-02-16,"Moses, TAKTiX, KAHUKX",3am,New Music Friday AU & NZ,23,370523
2024-02-16,"Moses, TAKTiX, KAHUKX",3am,A1,8,438229
2024-02-16,"Moses, TAKTiX, KAHUKX",3am,The Drip,11,89180
2024-02-16,ENHYPEN,I NEED U - Spotify Singles,New Music Friday AU & NZ,24,370523
2024-02-16,ENHYPEN,I NEED U - Spotify Singles,Pop n' Fresh,18,120580
2024-02-16,"Middle Kids, Dave Le’aupepe",All In My Head,New Music Friday AU & NZ,25,370523
2024-02-16,"Middle Kids, Dave Le’aupepe",All In My Head,Indie Arrivals,25,70658
2024-02-16,A1 x J1,Bad Guy,New Music Friday AU & NZ,26,370523
2024-02-16,A1 x J1,Bad Guy,Mellow Styles,8,96005
2024-02-16,A1 x J1,Bad Guy,The Drip,3,89180
2024-02-16,"Joel Corry, Majestic, Ron Carroll",Nikes On,New Music Friday AU & NZ,27,370523
2024-02-16,"Joel Corry, Majestic, Ron Carroll",Nikes On,Dance Generation,6,411035
2024-02-16,"Joel Corry, Majestic, Ron Carroll",Nikes On,New Dance Beats,4,139675
2024-02-16,ScHoolboy Q,Yeern 101,New Music Friday AU & NZ,28,370523
2024-02-16,ScHoolboy Q,Yeern 101,Beats n' Bars,1,95086
2024-02-16,ScHoolboy Q,Yeern 101,The Drip,1,89180
2024-02-16,Holly Humberstone,Dive,New Music Friday AU & NZ,29,370523
2024-02-16,Holly Humberstone,Dive,Pop n' Fresh,17,120580
2024-02-16,"Russ Millions, IQ",Night Gown,New Music Friday AU & NZ,30,370523
2024-02-16,"Russ Millions, IQ",Night Gown,The Flavour,7,245679
