Date,Artist,Title,Playlist,Position,Followers,Image_URL,Cover_Artist
2024-03-01,"Fred again.., Lil Yachty, Overmono",stayinit,New Music Friday AU & NZ,1,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"Fred again.., Lil Yachty, Overmono",stayinit,Front Left,10,564613,https://i.scdn.co/image/ab67706f0000000369a21bba4be38cf223495aa2,Good Neighbours
2024-03-01,"Fred again.., Lil Yachty, Overmono",stayinit,Dance Generation,5,411392,https://i.scdn.co/image/ab67706f00000003ca5c889e8a97ec01a9f43827,Charli XCX
2024-03-01,"Fred again.., Lil Yachty, Overmono",stayinit,New Dance Beats,1,139750,https://i.scdn.co/image/ab67706f0000000350a673c01e9f44c9896a3ed3,"Flight Facilities, Owl Eyes"
2024-03-01,"Fred again.., Lil Yachty, Overmono",stayinit,Breaking Hits,1,73590,https://i.scdn.co/image/ab67706f00000003d31f1e6a361b77ecd2c43fd4,Djo
2024-03-01,"Fred again.., Lil Yachty, Overmono",stayinit,triple j's New Music Hitlist,1,310214,,
2024-03-01,"Pharrell Williams, Miley Cyrus",Doctor (Work It Out) [feat. Miley Cyrus],New Music Friday AU & NZ,2,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
2024-03-01,"Pharrell Williams, Miley Cyrus",Doctor (Work It Out) [feat. Miley Cyrus],Pop n' Fresh,1,120680,https://i.scdn.co/image/ab67706f00000003419043fbde52eba2ab2d483f,Sycco
2024-03-01,"Pharrell Williams, Miley Cyrus",Doctor (Work It Out) [feat. Miley Cyrus],Breaking Hits,6,73590,https://i.scdn.co/image/ab67706f00000003d31f1e6a361b77ecd2c43fd4,Djo
2024-03-01,"Flight Facilities, Owl Eyes",Trouble,New Music Friday AU & NZ,3,371243,https://i.scdn.co/image/ab67706f00000003dc35b21fc4d0e25e64aedff6,Fred Again..
