DATE,ARTIST_TITLE,SPOTIFY_POS,SPOTIFY_MOVEMENT,DAYS_IN_CHART,SPOTIFY_PEAK,COUNT_AT_PEAK,SPOTIFY_DAILY_STREAMS,SPOTIFY_DAILY_STREAMS_MOVEMENT,SPOTIFY_7DAY_STREAMS,SPOTIFY_7DAY_STREAMS_MOVEMENT,SPOTIFY_TOTAL_STREAMS,ON_TOUR,ACTIVE_PROMO,ARIA_LW,ARIA_TW
2024-01-31,Noah Kahan - Stick Season,1,,118,1,5,341982,-16631,2267792,22709,19335038,,,,
2024-01-31,Jack Harlow - Lovin On Me,2,,83,1,72,306579,-15934,2176118,-20633,26776791,,,,
2024-01-31,Tate McRae - greedy,3,,139,1,9,234101,-10999,1588179,968,31554220,,,,
2024-01-31,"cassö - Prada (w/ RAYE, D-Block Europe)",4,,172,4,,221413,-12025,1499980,24297,27193512,,,,
2024-01-31,Benson Boone - Beautiful Things,5,3,13,5,,216529,23860,1090390,102751,1803614,,,,
2024-01-31,Taylor Swift - Cruel Summer,6,-1,361,1,1,215955,-1651,1478935,15296,50298470,,,,
2024-01-31,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),7,,160,4,,198430,2371,1309979,-1476,26455506,,,,
2024-01-31,Teddy Swims - Lose Control,8,-2,89,6,,188371,-14114,1257355,14982,9130502,,,,
2024-01-31,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",9,2,244,5,,173386,-1443,1186971,16630,30878649,,,,
2024-01-31,Sophie Ellis-Bextor - Murder On The Dancefloor,10,-1,35,4,,172886,-8781,1297401,-29280,4626807,,,,
2024-01-31,Kenya Grace - Strangers,11,3,153,2,11,166829,-3220,1128474,7242,24248427,,,,
2024-01-31,Doja Cat - Paint The Town Red,12,1,181,1,68,164903,-7246,1252742,8024,41557260,,,,
2024-01-31,Dom Dolla - Saving Up,13,-3,64,10,,158245,-20630,1024162,62369,4458228,,,,
2024-01-31,Zach Bryan - Something in the Orange,14,1,599,5,,155529,-975,1050461,-6506,62258325,,,,
2024-01-31,"Ariana Grande - yes, and?",15,-3,20,3,1,155060,-17426,1145474,-33166,3880921,,,,
2024-01-31,Morgan Wallen - Last Night,16,2,366,1,63,145276,3588,995728,-6306,63909312,,,,
2024-01-31,21 Savage - redrum,17,-1,20,15,,142976,-10022,964309,11169,2445221,,,,
2024-01-31,Natasha Bedingfield - Unwritten,18,1,32,14,,141449,-69,967877,-6315,3628974,,,,
2024-01-31,"Drake - Rich Baby Daddy (w/ Sexyy Red, SZA)",19,1,118,8,,134967,-303,918015,3427,15277269,,,,
2024-01-31,Sabrina Carpenter - Feather,20,-3,63,17,,134379,-9660,910472,3743,4726893,,,,
2024-01-31,Tyla - Water,21,,140,4,,128217,-2976,887511,-10017,19555015,,,,
2024-01-31,Dua Lipa - Houdini,22,1,83,7,,124013,-938,833386,-1216,9703474,,,,
2024-01-31,Vance Joy - Riptide,23,1,3380,9,,123000,-949,878931,-9561,135413780,,,,
2024-01-31,Olivia Rodrigo - vampire,24,1,216,1,4,121202,-319,818723,-1679,32577877,,,,
2024-01-31,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",25,2,80,25,,120545,3516,762545,19745,6044418,,,,
2024-01-31,Royel Otis - Murder on the Dance Floor - triple j Like A Version,26,-4,3,21,,119746,-9225,378535,119746,378535,,,,
2024-01-31,The Killers - Mr. Brightside,27,1,3190,10,,114964,3682,771950,4350,152119513,,,,
2024-01-31,Flo Milli - Never Lose Me,28,-2,19,26,,114603,-3582,727081,15874,1655664,,,,
2024-01-31,Tate McRae - exes,29,1,76,16,,108814,-274,725061,-4674,8244535,,,,
2024-01-31,Michael Marcagi - Scared To Start,30,3,19,30,,106875,248,668327,12955,1490830,,,,
2024-01-31,Dua Lipa - Dance The Night (From Barbie The Album),31,,251,3,2,106549,-2085,740415,-5545,31322361,,,,
2024-01-31,David Kushner - Daylight,32,,291,2,30,106178,-916,697131,5804,36778417,,,,
2024-01-31,"JID - Surround Sound (w/ 21 Savage, Baby Tate)",33,2,84,18,,105699,-220,716898,-13725,7739824,,,,
2024-01-31,OneRepublic - I Ain't Worried,34,,606,1,16,102878,-3446,716745,-9081,77461503,,,,
2024-01-31,Post Malone - Chemical,35,1,293,9,,102792,-1762,709305,7207,26929179,,,,
2024-01-31,Troye Sivan - Got Me Started,36,1,131,16,,102717,-571,669585,9253,11083020,,,,
2024-01-31,Luke Combs - Fast Car,37,3,314,3,5,100892,374,711316,-7187,40034060,,,,
2024-01-31,Fred again.. - leavemealone (w/ Baby Keem),38,-9,55,18,,100065,-10065,714188,-11446,5382578,,,,
2024-01-31,Mitski - My Love Mine All Mine,39,-1,134,11,,99472,-3696,669395,972,13644194,,,,
2024-01-31,YG Marley - Praise Jah In The Moonlight,40,-1,19,39,,98056,-2555,625700,19723,1322065,,,,
2024-01-31,Taylor Swift - Anti-Hero,41,1,468,1,32,95378,-291,631745,1904,61747356,,,,
2024-01-31,Ocean Alley - Confidence,42,-1,1047,4,,95063,-638,672923,-9723,50153805,,,,
2024-01-31,Zach Bryan - Heading South,43,3,280,33,,94018,3809,623433,-2504,16628232,,,,
2024-01-31,Lord Huron - The Night We Met,44,3,584,29,,91554,2218,597943,-5395,24835179,,,,
2024-01-31,Paul Russell - Lil Boo Thang,45,-2,120,14,,91115,-1651,641272,-10254,11340320,,,,
2024-01-31,Doja Cat - Agora Hills,46,-1,132,11,,90860,-590,616981,-40,14019898,,,,
2024-01-31,Troye Sivan - Rush,47,-3,201,11,,90120,-1884,603540,12455,16251709,,,,
2024-01-31,Taylor Swift - Is It Over Now? (Taylor's Version) (From The Vault),48,1,97,1,10,88610,1680,588569,-3283,13696433,,,,
2024-01-31,Dave - Sprinter (w/ Central Cee),49,1,245,1,63,88075,1507,590735,-1460,41495459,,,,
2024-01-31,Lewis Capaldi - Someone You Loved,50,3,1821,3,6,84479,2372,533187,-5005,149637243,,,,
2024-01-31,Morgan Wallen - Thinkin’ Bout Me,51,3,332,47,,84343,2923,565885,-3143,18950756,,,,
2024-01-31,Miley Cyrus - Flowers,52,,384,1,40,83140,-6,578753,-11142,65058379,,,,
2024-01-31,"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",53,-2,202,1,6,82651,-2631,561934,-4363,24438114,,,,
2024-01-31,MK - Rhyme Dust (w/ Dom Dolla),54,-6,244,13,,82505,-4996,563867,34718,14156964,,,,
2024-01-31,Fleetwood Mac - Dreams - 2004 Remaster,55,,2043,7,,81738,1217,559760,-4879,114145997,,,,
2024-01-31,Creedence Clearwater Revival - Have You Ever Seen The Rain,56,1,510,39,,80231,1847,580290,-8815,25901427,,,,
2024-01-31,Megan Thee Stallion - HISS,57,-1,4,56,,77376,-2998,292661,77376,292661,,,,
2024-01-31,Harry Styles - As It Was,58,1,671,1,53,77042,-262,516344,-6186,100246831,,,,
2024-01-31,"Drake - One Dance (w/ Wizkid, Kyla)",59,2,1666,1,98,75649,-818,499788,1404,87003559,,,,
