TW_SPOTIFY_POS,SPOTIFY_CHART_MOVEMENT,ARTIST_TITLE,DAYS_IN_CHART,SPOTIFY_PEAK,COUNT_AT_PEAK,SPOTIFY_DAILY_STREAMS,SPOTIFY_STREAMS_MOVEMENT,SPOTIFY_7DAY_STREAMS,SPOTIFY_7DAY_STREAMS_MOVEMENT,SPOTIFY_TOTAL_STREAMS
1,0,Noah Kahan - Stick Season,117,1,(x4),358613,11909.0,2245083,34599,18993056
2,0,Jack Harlow - Lovin On Me,82,1,(x72),322513,4222.0,2196751,-30924,26470212
3,0,Tate McRae - greedy,138,1,(x9),245100,8091.0,1587211,-2322,31320119
4,0,"cassö - Prada (w/ RAYE, D-Block Europe)",171,4,,233438,10306.0,1475683,35515,26972099
5,0,Taylor Swift - Cruel Summer,360,1,(x1),217606,-2039.0,1463639,20400,50082515
6,+1,Teddy Swims - Lose Control,88,6,,202485,13159.0,1242373,7833,8942131
7,-1,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),159,4,,196059,979.0,1311455,-2565,26257076
8,+2,Benson Boone - Beautiful Things,12,8,,192669,16808.0,987639,76230,1587085
9,-1,Sophie Ellis-Bextor - Murder On The Dancefloor,34,4,,181667,-3913.0,1326681,-26042,4453921
10,+2,Dom Dolla - Saving Up,63,10,,178875,7807.0,961793,84262,4299983
11,0,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",243,5,,174829,611.0,1170341,15531,30705263
12,+1,"Ariana Grande - yes, and?",19,3,(x1),172486,4142.0,1178640,-47582,3725861
13,-4,Doja Cat - Paint The Town Red,180,1,(x68),172149,-13409.0,1244718,17516,41392357
14,0,Kenya Grace - Strangers,152,2,(x11),170049,4875.0,1121232,8843,24081598
15,0,Zach Bryan - Something in the Orange,598,5,,156504,3182.0,1056967,-1406,62102796
16,0,21 Savage - redrum,19,15,,152998,7225.0,953140,26444,2302245
17,+2,Sabrina Carpenter - Feather,62,17,,144039,8193.0,906729,8732,4592514
18,0,Morgan Wallen - Last Night,365,1,(x63),141688,-1578.0,1002034,-3847,63764036
19,-2,Natasha Bedingfield - Unwritten,31,14,,141518,-3833.0,974192,-8653,3487525
20,0,"Drake - Rich Baby Daddy (w/ Sexyy Red, SZA)",117,8,,135270,824.0,914588,4339,15142302
21,+1,Tyla - Water,139,4,,131193,2381.0,897528,-15903,19426798
22,-1,Royel Otis - Murder on the Dance Floor - triple j Like A Version,2,21,,128971,-847.0,258789,128971,258789
23,0,Dua Lipa - Houdini,82,7,,124951,-1032.0,834602,-5192,9579461
24,0,Vance Joy - Riptide,3379,9,,123949,28.0,888492,-9333,135290780
25,0,Olivia Rodrigo - vampire,215,1,(x4),121521,-1409.0,820402,4626,32456675
26,+1,Flo Milli - Never Lose Me,18,26,,118185,6164.0,711207,16643,1541061
27,-1,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",79,26,,117029,2207.0,742800,17133,5923873
28,0,The Killers - Mr. Brightside,3189,10,,111282,675.0,767600,6572,152004549
29,+5,Fred again.. - leavemealone (w/ Baby Keem),54,18,,110130,6019.0,725634,-16448,5282513
30,0,Tate McRae - exes,75,16,,109088,469.0,729735,-6661,8135721
