date,artist_names,track_name,rank,previous_rank,rank_change,peak_rank,days_at_peak,days_on_chart,popularity_score,daily_streams,daily_streams_change,7Day_streams,7Day_streams_change,total_streams,label,track_id
05-02-2024,Noah Kahan,Stick Season,1,1,0,1,10.0,123,97,333388,8284.0,2376830,-13316,21011273,Mercury Records/Republic Records,0mflMxspEfB0VbI1kyLiAv
05-02-2024,Jack Harlow,Lovin On Me,2,2,0,1,72.0,88,99,272882,1522.0,2070240,-45409,28217939,Generation Now/Atlantic,4xhsWYTOGcal8zt0J161CU
05-02-2024,Benson Boone,Beautiful Things,3,3,0,3,3.0,18,93,267772,28872.0,1611385,91911,3005801,"Night Street Records, Inc./Warner Records Inc.",6tNQ70jh4OwmPGpYy6R2o9
05-02-2024,Tate McRae,greedy,4,4,0,1,9.0,144,100,232303,1031.0,1654249,-4706,32729268,RCA Records Label,3rUGC1vUpkDG9CZFHMur1t
05-02-2024,Taylor Swift,Cruel Summer,5,5,0,1,1.0,366,99,220866,-2740.0,1560404,1221,51425313,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr
05-02-2024,"cassö, RAYE, D-Block Europe",Prada,6,6,0,4,,177,94,205579,2753.0,1541849,-17553,28280510,Ministry of Sound Recordings,59NraMJsLaMCVtwXTSia8i
05-02-2024,Teddy Swims,Lose Control,7,9,2,6,,94,92,201613,19168.0,1379541,12287,10119187,Warner Records,17phhZDn6oGtzMe56NuWvj
05-02-2024,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),8,7,-1,4,,165,94,193974,6247.0,1360298,-1106,27421315,Warner Records,4KULAymBBJcPRpk1yO4dOG
05-02-2024,Sophie Ellis-Bextor,Murder On The Dancefloor,9,8,-1,4,,40,94,181466,-1602.0,1320389,-4114,5592643,Polydor Records,4tKGFmENO69tZR9ahgZu48
05-02-2024,Dom Dolla,Saving Up,10,12,2,10,,69,80,160833,11516.0,1174251,-10235,5295359,Three Six Zero Recordings,787Y2idwCU2Rk60Prv4wpr
05-02-2024,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),11,10,-1,5,,249,96,156434,-7353.0,1180611,-17784,31711045,XO / Republic Records,6WzRpISELf3YglGAh7TXcG
05-02-2024,Ariana Grande,"yes, and?",12,16,4,3,1.0,25,97,149058,6530.0,1093144,-19286,4646519,Republic Records,7gaA3wERFkFkgivjwbSvkG
05-02-2024,Zach Bryan,Something in the Orange,13,14,1,5,,605,91,148778,2742.0,1064503,-4544,63010795,Warner Records,3WMj8moIAXJhHsyLaqIIHI
05-02-2024,Kenya Grace,Strangers,14,11,-3,2,11.0,158,96,148755,-3119.0,1125272,-16419,25036821,Warner Records/Major Recordings,5mjYQaktjmjcMKcUIcqz4s
05-02-2024,Doja Cat,Paint The Town Red,15,13,-2,1,68.0,186,88,141598,-6847.0,1107886,-43960,42328094,Kemosabe Records/RCA Records,56y1jOTK0XSvJzVv9vHQBK
05-02-2024,Natasha Bedingfield,Unwritten,16,15,-1,14,,37,91,141525,-3974.0,1003763,-3826,4349770,Sony Music CG,3U5JVgI2x4rDyHGObzJfNf
05-02-2024,21 Savage,redrum,17,20,3,15,,25,96,140276,12017.0,978124,-5497,3127371,"Slaughter Gang, LLC/Epic Records",52eIcoLUM25zbQupAZYoFh
05-02-2024,Dua Lipa,Houdini,18,18,0,7,,88,94,134906,3805.0,938335,8923,10392845,Warner Records,4OMJGnvZfDvsePyCwRGO7X
05-02-2024,Morgan Wallen,Last Night,19,17,-2,1,63.0,371,87,133612,-3460.0,992368,-9654,64614716,Big Loud Records / Mercury Records / Republic Records,7K3BhSpAxZBznislvUMVtn
05-02-2024,YG Marley,Praise Jah In The Moonlight,20,19,-1,19,,24,88,132559,2628.0,799156,36079,1922554,YG Marley Music,3h5TiWTqGxjSjFrbruPFH9
05-02-2024,"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),21,21,0,8,,123,93,123771,-3563.0,923461,-10675,15930493,OVO/Republic,1yeB8MUNeLo9Ek1UEpsyz6
05-02-2024,Tyla,Water,22,22,0,4,,145,95,119869,-242.0,884040,-8943,20179645,FAX Records/Epic,5aIVCx5tnk0ntmdiinnYvw
05-02-2024,Flo Milli,Never Lose Me,23,25,2,23,,24,92,118636,4179.0,800307,6615,2223183,'94 Sounds/RCA Records,6uTPdRrEDeH8Fyg5L5qmeU
05-02-2024,Olivia Rodrigo,vampire,24,26,2,1,4.0,221,95,117115,5117.0,817595,-5815,33152749,Olivia Rodrigo PS,1kuGVB7EU95pJObxwvfwKS
05-02-2024,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",25,23,-2,23,,85,98,116151,-3631.0,828434,1329,6635278,XO / Republic Records,7CyPwkp0oE8Ro9Dd5CUDjW
05-02-2024,Vance Joy,Riptide,26,24,-2,9,,2567,90,113137,-1691.0,835104,-10784,136001935,Liberation Records,7yq4Qj7cqayVTp3FF9CWbm
05-02-2024,Michael Marcagi,Scared To Start,27,28,1,27,,24,86,112712,3890.0,746124,9303,2023452,Warner Records,3Pbp7cUCx4d3OAkZSCoNvn
05-02-2024,Taylor Swift,Anti-Hero,28,34,6,1,32.0,473,92,112133,12673.0,705351,20450,62261660,Taylor Swift,0V3wPSX9ygBnCm8psDIegu
05-02-2024,Tate McRae,exes,29,27,-2,16,,81,90,111356,1298.0,766277,2737,8792910,RCA Records Label,4E63weMCaNZuGPEFMnuEi8
05-02-2024,"Fred again.., Baby Keem",leavemealone,30,32,2,18,,60,79,108709,8374.0,777529,4598,5949912,Atlantic Records UK,7iUScoHKNJC5hqtA40vMlj
05-02-2024,David Kushner,Daylight,31,29,-2,2,30.0,298,94,103981,364.0,735644,-1762,37300789,"Miserable Music Group, LLC",1odExI7RdWc4BT515LTAwj
05-02-2024,Miley Cyrus,Flowers,32,56,24,1,40.0,389,94,101027,22673.0,590928,18931,65483021,Columbia,7DSAEUvxU8FajXtRloy8M0
05-02-2024,Royel Otis,Murder on the Dance Floor - triple j Like A Version,33,30,-3,21,,8,73,100986,-2526.0,791898,-28832,921716,triple j,1swz9stsbG1p34SJHJqiww
05-02-2024,Troye Sivan,Got Me Started,34,33,-1,16,,136,83,100648,827.0,735605,-359,11612620,EMI Recorded Music Australia Pty Ltd,31MNHKE86sEXzIglbGQ6mu
05-02-2024,Sabrina Carpenter,Feather,35,36,1,17,,68,93,98905,816.0,835471,-36941,5283946,Island Records,2Zo1PcszsT9WQ0ANntJbID
05-02-2024,Luke Combs,Fast Car,36,41,5,3,5.0,319,88,98281,6883.0,687711,-1952,40520361,River House Artists/Columbia Nashville,1Lo0QY9cvc8sUB2vnIOxDT
05-02-2024,Mitski,My Love Mine All Mine,37,37,0,11,,139,99,98062,557.0,672777,-3939,14114331,Dead Oceans,3vkCueOmm7xQDoJ17W1Pm3
05-02-2024,"JID, 21 Savage, Baby Tate",Surround Sound (feat. 21 Savage & Baby Tate),38,40,2,18,,89,94,96428,4075.0,704501,-7756,8232707,Dreamville/Interscope,1udwFobQ1JoOdWPQrp2b6u
05-02-2024,OneRepublic,I Ain't Worried,39,31,-8,1,16.0,611,54,96255,-4766.0,716060,-7578,77968361,Interscope Records,4fYte8ZvTK14NEhAOZocBi
05-02-2024,Post Malone,Chemical,40,38,-2,9,,298,87,92533,-3584.0,703923,-14198,27425756,Mercury Records/Republic Records,5w40ZYhbBMAlHYNDaVJIUu
05-02-2024,Zach Bryan,Heading South,41,39,-2,33,,285,87,92270,-295.0,653903,3513,17097908,Warner Records,2Dct3GykKZ58hpWRFfe2Qd
