ARTIST_TITLE,SPOTIFY_POS,SPOTIFY_MOVEMENT,DAYS_IN_CHART,SPOTIFY_PEAK,COUNT_AT_PEAK,SPOTIFY_DAILY_STREAMS,SPOTIFY_DAILY_STREAMS_MOVEMENT,SPOTIFY_7DAY_STREAMS,SPOTIFY_7DAY_STREAMS_MOVEMENT,SPOTIFY_TOTAL_STREAMS,ON_TOUR,ACTIVE_PROMO,ARIA_LW,ARIA_TW
Noah Kahan - Stick Season,1,,117,1,4,358613,11909,2245083,34599,18993056,,,,
Jack Harlow - Lovin On Me,2,,82,1,72,322513,4222,2196751,-30924,26470212,,,,
Tate McRae - greedy,3,,138,1,9,245100,8091,1587211,-2322,31320119,,,,
"cassö - Prada (w/ RAYE, D-Block Europe)",4,,171,4,,233438,10306,1475683,35515,26972099,,,,
Taylor Swift - Cruel Summer,5,,360,1,1,217606,-2039,1463639,20400,50082515,,,,
Teddy Swims - Lose Control,6,1,88,6,,202485,13159,1242373,7833,8942131,,,,
Zach Bryan - I Remember Everything (w/ Kacey Musgraves),7,-1,159,4,,196059,979,1311455,-2565,26257076,,,,
Benson Boone - Beautiful Things,8,2,12,8,,192669,16808,987639,76230,1587085,,,,
Sophie Ellis-Bextor - Murder On The Dancefloor,9,-1,34,4,,181667,-3913,1326681,-26042,4453921,,,,
Dom Dolla - Saving Up,10,2,63,10,,178875,7807,961793,84262,4299983,,,,
"The Weeknd - Popular (w/ Playboi Carti, Madonna)",11,,243,5,,174829,611,1170341,15531,30705263,,,,
"Ariana Grande - yes, and?",12,1,19,3,1,172486,4142,1178640,-47582,3725861,,,,
Doja Cat - Paint The Town Red,13,-4,180,1,68,172149,-13409,1244718,17516,41392357,,,,
Kenya Grace - Strangers,14,,152,2,11,170049,4875,1121232,8843,24081598,,,,
Zach Bryan - Something in the Orange,15,,598,5,,156504,3182,1056967,-1406,62102796,,,,
21 Savage - redrum,16,,19,15,,152998,7225,953140,26444,2302245,,,,
Sabrina Carpenter - Feather,17,2,62,17,,144039,8193,906729,8732,4592514,,,,
Morgan Wallen - Last Night,18,,365,1,63,141688,-1578,1002034,-3847,63764036,,,,
Natasha Bedingfield - Unwritten,19,-2,31,14,,141518,-3833,974192,-8653,3487525,,,,
"Drake - Rich Baby Daddy (w/ Sexyy Red, SZA)",20,,117,8,,135270,824,914588,4339,15142302,,,,
Tyla - Water,21,1,139,4,,131193,2381,897528,-15903,19426798,,,,
Royel Otis - Murder on the Dance Floor - triple j Like A Version,22,-1,2,21,,128971,-847,258789,128971,258789,,,,
Dua Lipa - Houdini,23,,82,7,,124951,-1032,834602,-5192,9579461,,,,
Vance Joy - Riptide,24,,3379,9,,123949,28,888492,-9333,135290780,,,,
Olivia Rodrigo - vampire,25,,215,1,4,121521,-1409,820402,4626,32456675,,,,
Flo Milli - Never Lose Me,26,1,18,26,,118185,6164,711207,16643,1541061,,,,
"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",27,-1,79,26,,117029,2207,742800,17133,5923873,,,,
The Killers - Mr. Brightside,28,,3189,10,,111282,675,767600,6572,152004549,,,,
Fred again.. - leavemealone (w/ Baby Keem),29,5,54,18,,110130,6019,725634,-16448,5282513,,,,
Tate McRae - exes,30,,75,16,,109088,469,729735,-6661,8135721,,,,
Dua Lipa - Dance The Night (From Barbie The Album),31,-2,250,3,2,108634,-285,745960,-3170,31215812,,,,
David Kushner - Daylight,32,,290,2,30,107094,1351,691327,18711,36672239,,,,
Michael Marcagi - Scared To Start,33,3,18,33,,106627,3218,655372,15461,1383955,,,,
OneRepublic - I Ain't Worried,34,1,605,1,16,106324,2491,725826,-5471,77358625,,,,
"JID - Surround Sound (w/ 21 Savage, Baby Tate)",35,-2,83,18,,105919,1735,730623,-29006,7634125,,,,
Post Malone - Chemical,36,-5,292,9,,104554,-2177,702098,10569,26826387,,,,
Troye Sivan - Got Me Started,37,1,130,16,,103288,2281,660332,3182,10980303,,,,
Mitski - My Love Mine All Mine,38,-1,133,11,,103168,1167,668423,3033,13544722,,,,
YG Marley - Praise Jah In The Moonlight,39,2,18,39,,100611,4131,605977,20745,1224009,,,,
Luke Combs - Fast Car,40,-1,313,3,5,100518,285,718503,-5713,39933168,,,,
Ocean Alley - Confidence,41,-1,1046,4,,95701,-1083,682646,-8497,50058742,,,,
Taylor Swift - Anti-Hero,42,4,467,1,32,95669,3986,629841,6821,61651978,,,,
Paul Russell - Lil Boo Thang,43,4,119,14,,92766,2286,651526,-11099,11249205,,,,
Troye Sivan - Rush,44,,200,11,,92004,-136,591085,13108,16161589,,,,
Doja Cat - Agora Hills,45,,131,11,,91450,-498,617021,1075,13929038,,,,
Zach Bryan - Heading South,46,2,279,33,,90209,1452,625937,-4469,16534214,,,,
Lord Huron - The Night We Met,47,-4,583,29,,89336,-3146,603338,-7759,24743625,,,,
MK - Rhyme Dust (w/ Dom Dolla),48,-6,243,13,,87501,-7711,529149,40292,14074459,,,,
Taylor Swift - Is It Over Now? (Taylor's Version) (From The Vault),49,1,96,1,10,86930,166,591852,-4185,13607823,,,,
Dave - Sprinter (w/ Central Cee),50,-1,244,1,63,86568,-1549,592195,3789,41407384,,,,
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",51,,201,1,6,85282,1127,566297,1098,24355463,,,,
Miley Cyrus - Flowers,52,,383,1,40,83146,1050,589895,-7868,64975239,,,,
Lewis Capaldi - Someone You Loved,53,2,1820,3,6,82107,2179,538192,-14720,149552764,,,,
Morgan Wallen - Thinkin’ Bout Me,54,-1,331,47,,81420,254,569028,262,18866413,,,,
