Artist,Title,Playlist,Position,Followers
SZA,Saturn,New Music Friday AU & NZ,1,370625
SZA,Saturn,Hot Hits Australia,8,1401289
SZA,Saturn,Breaking Hits,3,72967
Selena Gomez,Love On,New Music Friday AU & NZ,2,370625
Selena Gomez,Love On,Hot Hits Australia,1,1401289
Selena Gomez,Love On,Pop n' Fresh,1,120591
Selena Gomez,Love On,Breaking Hits,1,72967
Central Cee,I Will,New Music Friday AU & NZ,3,370625
Central Cee,I Will,A1,4,438280
Central Cee,I Will,The Flavour,5,245675
Central Cee,I Will,The Drip,5,89193
Central Cee,I Will,Breaking Hits,15,72967
Nick Ward,Gimme,New Music Friday AU & NZ,4,370625
Nick Ward,Gimme,Front Left,36,564388
Nick Ward,Gimme,Indie Arrivals,1,70676
Bailey Zimmerman,Holy Smokes,New Music Friday AU & NZ,5,370625
Bailey Zimmerman,Holy Smokes,Fresh Country,5,379174
Bailey Zimmerman,Holy Smokes,Breaking Hits,8,72967
L.A.B.,Give Me That Feeling,New Music Friday AU & NZ,6,370625
L.A.B.,Give Me That Feeling,Coffee + Chill,7,542103
"Free Nationals, A$AP Rocky, Anderson .Paak",Gangsta,New Music Friday AU & NZ,7,370625
"Free Nationals, A$AP Rocky, Anderson .Paak",Gangsta,A1,12,438280
"Free Nationals, A$AP Rocky, Anderson .Paak",Gangsta,The Drip,3,89193
"Free Nationals, A$AP Rocky, Anderson .Paak",Gangsta,the hybrid,2,26946
Kings of Leon,Mustang,New Music Friday AU & NZ,8,370625
Kings of Leon,Mustang,Rock Out.,1,90232
Missy Higgins,You Should Run,New Music Friday AU & NZ,9,370625
Justin Timberlake,Drown,New Music Friday AU & NZ,10,370625
Justin Timberlake,Drown,Pop n' Fresh,7,120591
LE SSERAFIM,EASY,New Music Friday AU & NZ,11,370625
JessB,Come Find Me,New Music Friday AU & NZ,12,370625
JessB,Come Find Me,The Flavour,8,245675
JessB,Come Find Me,The Drip,4,89193
Jessie Murph,Son of a Bitch,New Music Friday AU & NZ,13,370625
Jessie Murph,Son of a Bitch,Fresh Country,4,379174
"Vv Pete, Mixtape Madness, UTILITY",Next Up Australia - S1-E7,New Music Friday AU & NZ,14,370625
"Vv Pete, Mixtape Madness, UTILITY",Next Up Australia - S1-E7,A1,19,438280
"Vv Pete, Mixtape Madness, UTILITY",Next Up Australia - S1-E7,Indie Arrivals,27,70676
"Vv Pete, Mixtape Madness, UTILITY",Next Up Australia - S1-E7,The Drip,10,89193
Bleachers,Me Before You,New Music Friday AU & NZ,15,370625
Bleachers,Me Before You,Front Left,7,564388
Bleachers,Me Before You,Indie Arrivals,4,70676
Bleachers,Me Before You,Alt Here,1,47671
aleksiah,24,New Music Friday AU & NZ,16,370625
aleksiah,24,Front Left,47,564388
aleksiah,24,Pop n' Fresh,2,120591
aleksiah,24,Indie Arrivals,2,70676
"Guy Sebastian, Sam Fischer",Antidote (feat. Sam Fischer),New Music Friday AU & NZ,17,370625
"Guy Sebastian, Sam Fischer",Antidote (feat. Sam Fischer),Pop n' Fresh,8,120591
Lil Durk,Old Days,New Music Friday AU & NZ,18,370625
Lil Durk,Old Days,A1,6,438280
Lil Durk,Old Days,The Drip,7,89193
A.GIRL,Type Of Feeling,New Music Friday AU & NZ,19,370625
A.GIRL,Type Of Feeling,R&B Connect,4,198361
A.GIRL,Type Of Feeling,The Flavour,6,245675
A.GIRL,Type Of Feeling,Indie Arrivals,16,70676
Logan,Wow,New Music Friday AU & NZ,20,370625
Logan,Wow,Front Left,35,564388
Logan,Wow,Indie Arrivals,5,70676
Kasabian,Call,New Music Friday AU & NZ,21,370625
Kasabian,Call,Rock Out.,4,90232
"French Montana, Kanye West, Westside Gunn",Where They At,New Music Friday AU & NZ,22,370625
"French Montana, Kanye West, Westside Gunn",Where They At,Beats n' Bars,11,95084
